Year,Month,Day,Hour,Hs (m),v10 (m/s)
2008,4,1,6,4.570993088,14.40492094
2008,4,1,12,6.014918931,15.79847258
2008,4,1,18,5.832356571,13.40848703
2008,4,2,0,4.259471784,8.868578293
2008,4,2,6,3.259133632,3.833585343
2008,4,2,12,2.616669497,1.978206655
2008,4,2,18,2.192244379,2.580466825
2008,4,3,0,2.139935731,7.482698727
2008,4,3,6,2.14615062,7.424634465
2008,4,3,12,2.195351823,9.305302104
2008,4,3,18,2.259054434,9.326492486
2008,4,4,0,2.370663479,11.34679134
2008,4,4,6,2.227721036,7.310288467
2008,4,4,12,2.254652221,7.778235108
2008,4,4,18,2.174635527,8.722186266
2008,4,5,0,2.377655229,12.85534939
2008,4,5,6,3.01002017,12.03774359
2008,4,5,12,2.706267478,11.74258964
2008,4,5,18,3.226764419,12.50545317
2008,4,6,0,3.29745878,13.88248127
2008,4,6,6,4.20742209,16.18715895
2008,4,6,12,3.766941842,12.20397713
2008,4,6,18,3.524302223,13.99389786
2008,4,7,0,3.230130817,12.38856807
2008,4,7,6,3.335007067,14.17902901
2008,4,7,12,3.2744119,14.49032402
2008,4,7,18,3.093403262,11.61563193
2008,4,8,0,2.67493408,8.573684965
2008,4,8,6,2.106271749,6.891569844
2008,4,8,12,1.685730937,6.341806315
2008,4,8,18,1.382496152,5.80048175
2008,4,9,0,1.152027357,3.491657603
2008,4,9,6,1.010638635,4.149534835
2008,4,9,12,0.889448303,2.647420051
2008,4,9,18,0.93683683,4.523595543
2008,4,10,0,1.21314043,5.816935405
2008,4,10,6,2.007610389,5.421490019
2008,4,10,12,3.15684692,5.596642325
2008,4,10,18,3.519641056,3.387577762
2008,4,11,0,3.223139067,3.626265672
2008,4,11,6,2.701865265,4.226194497
2008,4,11,12,2.377396276,1.083683648
2008,4,11,18,1.928111602,2.456667564
2008,4,12,0,1.609598549,1.774849456
2008,4,12,6,1.503686484,3.196849495
2008,4,12,12,1.439465966,3.52542579
2008,4,12,18,1.331223319,6.28964248
2008,4,13,0,1.408650476,5.866539971
2008,4,13,6,1.286683282,7.04849825
2008,4,13,12,1.17326156,5.664410725
2008,4,13,18,1.333812856,8.417298188
2008,4,14,0,1.769114029,8.899584331
2008,4,14,6,1.794750446,8.309022516
2008,4,14,12,1.312060745,4.374122652
2008,4,14,18,1.184914477,8.027577713
2008,4,15,0,1.363851485,8.203302233
2008,4,15,6,1.356600781,7.293521498
2008,4,15,12,1.3369203,4.060111703
2008,4,15,18,1.132087922,2.145698625
2008,4,16,0,0.989404432,5.713441393
2008,4,16,6,1.284611652,8.312326258
2008,4,16,12,1.70903677,10.01230906
2008,4,16,18,1.670193715,8.511288578
2008,4,17,0,1.830227103,11.0033952
2008,4,17,6,2.212701721,10.74469303
2008,4,17,12,2.380762674,10.51031802
2008,4,17,18,2.147704342,9.575749595
2008,4,18,0,2.566173525,11.00730784
2008,4,18,6,2.636349978,11.34030328
2008,4,18,12,2.652664061,10.07988572
2008,4,18,18,2.161687842,7.114368187
2008,4,19,0,2.30074598,8.643473753
2008,4,19,6,2.274073749,8.691205361
2008,4,19,12,2.154178184,9.091094263
2008,4,19,18,1.661648243,6.308690242
2008,4,20,0,1.468727734,7.763330359
2008,4,20,6,1.604678428,7.686025656
2008,4,20,12,1.350644846,7.331537414
2008,4,20,18,1.042489941,4.057788587
2008,4,21,0,1.050517505,6.560862369
2008,4,21,6,1.061911468,5.633253694
2008,4,21,12,1.088324746,7.113450297
2008,4,21,18,0.872875266,2.845377653
2008,4,22,0,0.85500746,7.235844872
2008,4,22,6,1.179476449,8.149868072
2008,4,22,12,1.499025318,9.945584729
2008,4,22,18,1.319311448,8.837413185
2008,4,23,0,1.378093939,10.55155734
2008,4,23,6,1.279432578,6.384996647
2008,4,23,12,1.341063559,5.752301088
2008,4,23,18,1.51456254,5.98347363
2008,4,24,0,2.257241758,9.626434589
2008,4,24,6,2.315247387,10.9039232
2008,4,24,12,2.305148193,8.715323277
2008,4,24,18,2.213478582,6.784512714
2008,4,25,0,2.262420832,8.768517904
2008,4,25,6,2.285467711,6.850968634
2008,4,25,12,2.225131499,9.003343917
2008,4,25,18,2.503247775,12.56085197
2008,4,26,0,2.737600876,12.46865644
2008,4,26,6,2.927672893,12.06699314
2008,4,26,12,2.917055791,10.75751356
2008,4,26,18,2.562807127,8.188907159
2008,4,27,0,2.258277573,7.511001215
2008,4,27,6,2.099279999,8.247547779
2008,4,27,12,1.892634945,6.045912981
2008,4,27,18,1.675113835,0.338211777
2008,4,28,0,1.539681049,2.956027819
2008,4,28,6,1.59639191,2.103524057
2008,4,28,12,1.439465966,1.698281206
2008,4,28,18,1.330964365,3.084180234
2008,4,29,0,1.249134995,4.98738372
2008,4,29,6,1.18724506,5.81320561
2008,4,29,12,1.284611652,5.891180996
2008,4,29,18,1.576452475,9.017442551
2008,4,30,0,1.663201965,5.988854814
2008,4,30,6,1.697383854,6.100082887
2008,4,30,12,1.707483048,6.601245264
2008,4,30,18,1.800706381,7.00452926
2008,5,1,0,1.703339789,2.614786968
2008,5,1,6,1.550039197,0.970367696
2008,5,1,12,1.449047253,5.719982795
2008,5,1,18,1.358154504,6.170793778
2008,5,2,0,1.29212131,5.573690702
2008,5,2,6,1.164457134,4.171990322
2008,5,2,12,1.088324746,7.221390975
2008,5,2,18,0.939685321,4.763271207
2008,5,3,0,1.088842653,8.077089063
2008,5,3,6,1.430402587,10.85964169
2008,5,3,12,2.039979602,13.23362269
2008,5,3,18,1.957891278,12.18411001
2008,5,4,0,2.191467517,12.39817105
2008,5,4,6,1.979643389,11.41968154
2008,5,4,12,1.440242827,7.173953034
2008,5,4,18,1.190352505,3.987888755
2008,5,5,0,1.12846257,4.657044366
2008,5,5,6,1.088065792,3.969439801
2008,5,5,12,0.962214293,4.791288938
2008,5,5,18,0.967393367,4.374385992
2008,5,6,0,1.174038421,7.299805139
2008,5,6,6,1.483488096,8.079426957
2008,5,6,12,1.550816058,8.262505978
2008,5,6,18,1.368771605,7.141027763
2008,5,7,0,1.237999986,7.689513278
2008,5,7,6,1.168859347,7.178744272
2008,5,7,12,1.140633394,7.205225633
2008,5,7,18,0.923371238,4.733986007
2008,5,8,0,0.883751321,7.389670425
2008,5,8,6,1.026693765,7.711043093
2008,5,8,12,1.206407634,8.074525698
2008,5,8,18,0.953668821,6.57256753
2008,5,9,0,1.047410061,9.670013502
2008,5,9,6,1.05647344,8.344988611
2008,5,9,12,0.787420544,6.62336312
2008,5,9,18,0.665971257,4.04858966
2008,5,10,0,0.708698618,3.682165431
2008,5,10,6,0.739514109,3.64187669
2008,5,10,12,0.792340664,3.573657308
2008,5,10,18,0.869767821,5.121611585
2008,5,11,0,0.856302229,3.480926531
2008,5,11,6,0.836621747,4.139772185
2008,5,11,12,0.797778692,2.4892969
2008,5,11,18,0.800886136,2.0716081
2008,5,12,0,0.805806257,3.32425514
2008,5,12,6,0.882197599,4.678655887
2008,5,12,12,1.046374246,5.419909721
2008,5,12,18,1.069680079,3.770450038
2008,5,13,0,1.277360949,6.437149235
2008,5,13,6,1.28797805,5.893849516
2008,5,13,12,1.34391205,4.219856929
2008,5,13,18,1.142705023,1.51331425
2008,5,14,0,1.026434811,3.540474974
2008,5,14,6,0.959365802,3.285483203
2008,5,14,12,0.882456553,2.002109429
2008,5,14,18,0.805547303,1.287280651
2008,5,15,0,0.763855757,2.11944735
2008,5,15,6,0.748836442,3.439361724
2008,5,15,12,0.729673868,1.563730184
2008,5,15,18,0.682285341,1.740311327
2008,5,16,0,0.711288155,3.251056365
2008,5,16,6,0.705073267,1.603228055
2008,5,16,12,0.756605053,3.213596731
2008,5,16,18,0.823933016,5.277864325
2008,5,17,0,0.936318923,5.87713877
2008,5,17,6,0.906280293,5.064383475
2008,5,17,12,1.050776459,6.69197859
2008,5,17,18,0.952633006,4.746123465
2008,5,18,0,1.020478876,6.379186318
2008,5,18,6,1.008567006,5.807753573
2008,5,18,12,0.85008734,3.427912795
2008,5,18,18,0.713359785,2.370174287
2008,5,19,0,0.822897201,4.564005835
2008,5,19,6,0.863293979,4.501791227
2008,5,19,12,0.987591756,6.112278162
2008,5,19,18,0.90187808,5.836161371
2008,5,20,0,1.036792959,6.911049995
2008,5,20,6,1.182583893,6.816833957
2008,5,20,12,1.283575837,6.798211946
2008,5,20,18,1.204594958,5.282173599
2008,5,21,0,1.383273013,6.950731796
2008,5,21,6,1.517928938,8.278008984
2008,5,21,12,1.600017262,9.06138127
2008,5,21,18,1.401399772,7.083331296
2008,5,22,0,1.34391205,8.279498605
2008,5,22,6,1.415124318,8.183976726
2008,5,22,12,1.614259715,9.305801544
2008,5,22,18,1.337956115,6.406269299
2008,5,23,0,1.521813243,10.05942882
2008,5,23,6,1.433251077,8.10298581
2008,5,23,12,1.408650476,8.223723508
2008,5,23,18,1.136749088,5.642334716
2008,5,24,0,1.258975236,7.269016066
2008,5,24,6,1.069162172,4.424236671
2008,5,24,12,0.917674256,5.053462441
2008,5,24,18,0.788715312,5.12920317
2008,5,25,0,0.888153534,8.221287938
2008,5,25,6,1.116032792,8.018657353
2008,5,25,12,1.030060163,7.567523202
2008,5,25,18,0.903431802,6.579734389
2008,5,26,0,0.928291358,6.861854504
2008,5,26,6,0.913789951,5.857881277
2008,5,26,12,0.89488633,5.7969697
2008,5,26,18,0.863035025,5.906629251
2008,5,27,0,0.870803636,6.735461224
2008,5,27,6,1.016335617,6.847890276
2008,5,27,12,1.031095978,6.992823509
2008,5,27,18,0.855525368,5.35422559
2008,5,28,0,1.007013283,7.649082838
2008,5,28,6,1.050258552,6.172946278
2008,5,28,12,0.846720942,5.094652551
2008,5,28,18,0.901360173,1.001003341
2008,5,29,0,1.265966986,2.945729496
2008,5,29,6,1.625912632,4.334236088
2008,5,29,12,1.694276409,4.223488819
2008,5,29,18,1.691427918,2.67520584
2008,5,30,0,1.563763743,2.901144187
2008,5,30,6,1.409427337,3.159116412
2008,5,30,12,1.254314069,2.020144087
2008,5,30,18,1.073564385,3.695335349
2008,5,31,0,1.040418311,2.945573884
2008,5,31,6,0.960142663,2.06155375
2008,5,31,12,0.872357358,2.923549918
2008,5,31,18,1.020219922,4.959998911
2008,6,1,0,1.116550699,4.136122513
2008,6,1,6,1.102567199,2.498266045
2008,6,1,12,1.216765782,2.56744947
2008,6,1,18,1.15435794,2.88283047
2008,6,2,0,1.034980283,3.219792049
2008,6,2,6,0.913789951,2.999552864
2008,6,2,12,0.824968831,1.129163778
2008,6,2,18,0.750908072,3.555086084
2008,6,3,0,0.753238655,6.088009673
2008,6,3,6,1.008049098,6.700883784
2008,6,3,12,1.562727928,8.23283568
2008,6,3,18,2.082189055,5.186212599
2008,6,4,0,2.273555841,6.657523464
2008,6,4,6,2.277181193,7.910643206
2008,6,4,12,2.330266702,9.256469417
2008,6,4,18,2.304112378,8.158972124
2008,6,5,0,2.516713368,3.926993507
2008,6,5,6,2.496514979,4.146294453
2008,6,5,12,2.354349396,2.547464431
2008,6,5,18,2.086073361,3.174853437
2008,6,6,0,1.882276797,3.763968725
2008,6,6,6,1.642226715,2.91402987
2008,6,6,12,1.481157512,3.572978664
2008,6,6,18,1.40269454,4.638721124
2008,6,7,0,1.330964365,2.061816342
